word,translation
!,Used at the end of a salutation line of a letter.
&c.,archaic form of etc.
'n,short for denn (used for general emphasis)
'n Appel und 'n Ei,peanuts
'nauf,clipping of hinauf
'naus,clipping of hinaus
'ne,"contraction of eine (“a, an”)"
'nein,clipping of hinein
'nem,"contraction of einem (“a, an”)"
'nen,"contraction of einen (“a, an”)"
'ner,"contraction of einer (“a, an”)"
's,contraction of das
'türlich,for sure (affirmative interjection)
*,the Gendersternchen
*fg*,Indicates that the user is grinning cheekily.
*rsch,censored spelling of Arsch
*rschl*ch,censored spelling of Arschloch
-'s,Used to form the genitive of proper names
-'sch,"A suffix attached to names to produce eponymous adjectives: -ean, -ian, 's"
-abel,"-able, -ible"
-ade,-ade
-affin,affine (having a specified affinity)
-age,"Nominal suffix, rarely productive, mostly restricted to borrowings from French."
-al,"pertaining to, using"
-algie,-algia
-an,-ane
-anisch,Forms demonymic adjectives.
-ans,-ant
-ant,"Forms agent nouns, mostly from verbs of Romance or Latin origin."
-anz,-ance
-ar,-ary
-archie,-archy
-arm,"-poor, not having much of"
-artig,-like
-at,-ate (abstract noun)
-ation,-ation
-ator,"used to form agent nouns, usually from verbs that have the ending -ieren"
-augert,Creates adjectives that refer to the quantity or a quality of eyes. Corresponds to eyed
-bar,"-able, -ible"
-beck,Placename suffix found in northern Germany
-bedürftig,Forms adjectives denoting the need of something.
-berg,Added to a stem to form a patronymic or matronymic surname.
-bold,Pejorative agent suffix.
-broich,"Placename suffix found in the Rhineland, chiefly its northern parts."
-büren,place name suffix found in northern Germany
-chen,nowadays the most common suffix to create a diminutive form
-chor,-chorous
-de,forms abstract nouns from adjectives
-e,"used to form nouns from adjectives, sometimes with umlaut of the root vowel"
-e-,used to link elements in some compounds
-eck,-gon
-ed,To form past participles.
-ei,Forming names of sites or buildings where a characteristic activity is conducted.
-eigen,own
-einander,"each other, mutually, reciprocally"
-ektomie,-ectomy (surgical removal of)
-el,suffix in diminutives
-elchen,"used to make diminutives of nouns with a stem ending in -ch, and a few with a stem ending in -g."
-ell,pertaining or adhering to
-eln,"Suffix used to form verbs, chiefly from other verbs, but also from nouns and adjectives. The resulting verb often has an iterative/frequentative or a diminutive meaning."
-em,"masculine and neuter dative suffix, used in most determiners/pronouns and in strong adjectives"
-en,A suffix of verbs in their infinitive form.
-end,"A suffix forming the present participle of German verbs, analogous to English -ing."
-ens,plural suffix for family names that end in a sibilant consonant
-ens-,used to link elements in some compounds
-enz,-ence
-er,"Forms agent nouns etc. from verbs, suffixed to the verb stem."
-er-,used to link elements in some compounds
-erei,"Used to form verbal nouns, which often have an informal, frequentative and/or negative overtone."
-erl,suffix used to create a diminutive form
-erlei,Produces adjectives describing the number of kinds of a thing.
-ern,"iterative suffix, used to form verbs from other verbs"
-ert,"Used to form characteristic adjectives from nouns, adjectives, and verbs."
-erweise,Used to form adverbs from adjectives and participles
-es,"flat, ♭"
-es-,Genitival interfix used to link elements in some compounds.
-ese,Forms nouns indicating an inhabitant of a place.
-esisch,"of a nationality, or the language associated with a nationality"
-esk,-esque
-eur,"Suffix of agent nouns from verbs, mostly in French borrowings, but occasionally productive."
-fach,"-fold, times"
-falls,used to form adverbs from adjectives
-falt,-fold
-farben,-coloured
