word,translation
ich,I (first person singular nominative (subject) pronoun)
sie,she
das,nominative/accusative neuter singular of der
du,"you (singular familiar), thou"
nicht,"not, non- (negates the meaning of a verb, adjective, or adverb)"
es,"Refers to a neuter noun (person, animal, thing or abstract)"
und,and
der,"nominative masculine singular definite article, the"
wir,we
was,what
zu,"to, towards (indicates directionality)"
er,he
ein,one
in,"[with dative] in, inside, within, at (inside a building)"
mit,"with (in the company of, alongside)"
JA,initialism of Junge Alternative für Deutschland.
den,that
wie,how
auf,"[with dative] on, upon (positioned at the top of)"
dass,that
aber,but
so,"so, such, that"
hier,here
haben,forms the perfect aspect (have)
für,describes an abstract directionality towards a person or matter
von,from
wenn,"when, whenever"
ihr,"you, ye (plural, familiar)"
Habe,"belongings, possession"
nein,no
an,"on, upon, at, in, against"
noch,"still, yet (up to and including a given time)"
da,there
Dir,alternative letter-case form of dir
nur,"only, just, merely, simply"
einen,to unite
sich,Reciprocal pronoun of the third person plural: each other (in both dative and accusative)
Hast,haste
sein,forms the present perfect and past perfect tenses of certain verbs
auch,"also, too, as well (in addition to whatever or whoever has previously been listed)"
ihn,(obsolete) dative of sie
schon,"already (happening rather early, continuing rather long)"
als,"at (approximately) the same moment, when, while, as"
jetzt,"now (at this moment, right now)"
gut,"good (acting in the interest of what is beneficial, ethical, or moral)"
mal,times (indicating multiplication of two numbers)
aus,out
um,about
dann,"then, after that"
IM,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
mein,my
doch,yes
alles,everything
weiß,white
Oder,"Oder (a major river in the Czech Republic, Poland and Germany)"
nach,"after, past (later in time)"
S,"The nineteenth letter of the German alphabet, called es and written in the Latin script."
werden,"will, to be going to, forms the future tense"
nichts,nothing
man,"one, you, they (indefinite pronoun, referring to people at large"
wo,where (at what place)
etwas,something
Muss,"necessity, a must"
oh,oh
mehr,something more
also,"so, therefore"
bei,"by, near"
immer,always
bitte,"please, if you please (used to make a polite request or affirm an offer)"
warum,why
vor,"in front of, ahead of (relative location in space)"
los,"rid of, free of"
können,"to be able (to do or be something), to have the possibility of, can."
wieder,again
sagen,to say (to pronounce
machen,"to make, to produce, to create (an object, arrangement, situation, etc.)"
alle,finished
sehr,very
Mann,"man, male human being"
okay,OK
gehen,"to go, to walk"
denn,for
zum,"contraction of zu + dem, literally “to the"
tun,to do (to perform or execute an action)
danke,"thanks, thank you"
sehen,to see
wer,who (what person or people)
vielleicht,"perhaps, maybe"
einer,one
über,"[with accusative or dative] above, over (spatially)"
wissen,to know
müssen,to have to (do something)
wirklich,real
Soll,debit
nie,"never, never at all (referring to an indefinite period of time)"
weg,away
kein,no
Des,D-flat
Würde,dignity
einfach,easy
leben,"to live, to be alive"
AM,acronym of Anwendungsmanagement
viel,"much, a lot"
kommen,to come
Zeit,time (as a concept)
nun,"now, at this moment"
dein,"thy, your (esp. to friends, relatives, children, etc.)."
weil,"because, given that"
heute,today
wollen,wool
damit,"therefore, as a result"
Frau,woman (adult female human)
ganz,"entire, whole, complete"
bis,until
sicher,"safe, secure (not dangerous or in danger)"
zurück,"back, backward, backwards, to the rear."
dieser,"this one, this"
leid,"distressing, uncomfortable"
lassen,to allow
Macht,"power, authority"
na,"well!, so!"
Gott,god
meinen,"to opine, to think"
hallo,hello
Seine,Seine (a river in France)
zwei,two (numerical value represented by the Arabic numeral 2
zur,"contraction of zu + der, literally “to the (feminine)”"
genau,exact
Vater,father
Morgen,morning (part of the day from dawn to noon)
Leute,"people (several individual persons, a group of people in general, esp. of one kind or another), folk (folks), peeps (slang), guys (boys and/or girls)"
klar,clear
ab,beginning at that time or location
Tag,day (a 24-hour period)
gerade,even
schön,"beautiful, lovely, pretty, handsome"
Glaube,"belief, faith"
Liebe,love (tender feeling of affection)
Geld,money
durch,by means of
reden,"to talk, to speak, to orate"
jemand,"someone, somebody"
raus,"out, out of there, outta there"
ob,"Introduces an indirect question, a doubt. if, whether."
Mutter,mother
paar,some
passiert,sieved
wohl,"possibly, probably"
selbst,"personally, by oneself"
her,"hither, to this place, to here, to me/us"
ohne,without
Nacht,night
meiner,mine (substantival possessive)
wieso,why
finden,to find
dort,"there, yonder"
helfen,to help (someone)
lange,"long, for a long time"
Gute,nominalization of gut
Ordnung,"arrangement, regulation"
geben,to give (changing ownership)
weiter,"further, farther, more"
natürlich,"natural, normal"
ins,contraction of in (“(in)to”) + das (“the”) (accusative singular neuter)
gar,"cooked, done (of food such as meat or vegetables: ready for consumption)"
richtig,"correct, accurate, right"
vom,"contraction of von + dem, literally “from the, of the”"
Denke,"way of thinking, mindset, mentality, attitude"
seit,since
gleich,equal
hören,to hear (to perceive sounds (or a sound) through the ear)
ach,"oh, alas (expressing surprise, sorrow, or understanding)"
Mädchen,girl
davon,"from it, from that, therefrom, off it, off that"
recht,"right, right-hand (direction)"
dafür,"for that, for it"
wegen,"for, because of"
hin,"there, thither"
Warte,"lookout, guarding post"
drei,three (numerical value represented by the Arabic numeral 3
abend,Formerly standard spelling of Abend which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Freund,friend
sollen,should
Haus,"house, building"
bleiben,to remain (to continue to be)
Musik,music
unser,our
Angst,fear
schnell,"quick, fast"
tot,"dead, deceased"
Welt,world
zusammen,"together, jointly"
unter,under
Scheiße,"feces, shit"
nehmen,to take (something into one's possession or on one's body)
Herr,"man, gentleman"
Andere,nominalization of andere: the other / different one (female)
rein,"pure, clear, plain"
bringen,"to bring, to fetch, to take, to convey, to bear"
essen,to eat
glauben,to believe something (to consider true)
genug,"enough, sufficient, an adequate number or amount of"
Junge,boy
stimmt,correct
brauchen,"to need, to be in need of, to require"
gegen,against
Moment,moment
erst,"first, at first"
einmal,"once, one time (one and only one time)"
sonst,otherwise (under different circumstances)
niemand,"nobody, no one"
Arbeit,"toil, regularly performed work, regularly pursued economic activity, labor, job, employment, occupation"
warten,to wait (for)
dabei,"with one, on one"
fragen,to ask
sofort,"immediately, at once"
halt,"stop!, wait!"
verdammt,damned
Ihrer,yours (polite/formal
bevor,before
Sohn,son
Familie,family
jeder,each
sprechen,"to speak (some language, the truth, etc.)"
gefunden,"found, located"
Sache,"matter, affair, case, question, issue"
Problem,problem
fertig,ready for use
allein,alone
wann,when
Bruder,brother
Hilfe,"help, aid"
halten,to hold (an object in one's hands)
Hatten,"Hatten (a municipality of Oldenburg district, Lower Saxony, Germany)"
Kind,kid
darüber,"above, above it/this/that"
wahr,"true, real"
beim,"contraction of bei + dem: at the, by the, etc."
NE,ISO 3166-2:CH code of Neuenburg (canton)
beide,both
denken,to think
daran,"on it, on that"
dazu,"in addition to it, in addition, besides"
deiner,"yours, thine (substantival possessive)"
Fall,"fall, drop (the act of falling or an instance thereof)"
Lieber,dear
eigentlich,Used to frame a statement as being a more (formally) truthful description of the situation in comparison to another claim or assumption
bekommen,to receive
dank,"thanks to, because of, courtesy of"
vergessen,to forget (lose remembrance of)
kennen,to know
Frage,question (interrogative sentence or phrase)
gern,willingly
Stadt,city (a large settlement)
Sage,"saga, legend, myth, story, tale"
Kopf,head
egal,"all the same, unimportant"
letzte,last
Namen,"Namur, a city in southern Belgium."
töten,to kill
fahren,to go at speed
all,all
n,nonstandard form of 'n
später,later
Uhr,"hours, o'clock (indicates the time within a twelve- or twenty-four-hour period)"
Ende,"end, finish"
Baby,baby (infant)
Glück,"happiness, joy, bliss (state or emotion)"
Freunde,friends
bisschen,(a) bit
sterben,to die
darauf,after (behind
bald,soon (near in time)
echt,"authentic, genuine, true"
bereit,ready
eins,one (numerical value represented by the Arabic numeral 1
runter,"down, down here, downstairs (towards the speaker)"
seiner,his (substantival possessive)
Polizei,police
Auto,car
stehen,"to stand (to be upright, support oneself in an erect position)"
weit,wide
draußen,outside
Tür,door (rigid plane on a hinge)
Dad,dad
verrückt,"crazy, mad"
Kerl,"fellow, guy, chap, bloke"
vorbei,"over, past, up (of time)"
treffen,to meet
hi,hi
Ahnung,"anticipation, inkling"
Teufel,"the Devil, Satan (supreme evil spirit in the Abrahamic religions)"
hinter,"behind, after"
fast,almost
Name,"name (forename, Christian name, given name)"
arbeiten,to work (to do a specific task by employing physical or mental powers)
gerne,"don't mention it, not at all, you're welcome"
dran,to be in a particular situation
ziemlich,"pretty, quite, rather, fairly, kind of"
ruhig,quiet
sorgen,"to take care of, to care for, to look after"
Tochter,daughter
toll,"great, nice, wonderful"
sogar,"even, actually, in fact"
überhaupt,"overall, in general"
he,An exclamation to get attention
spät,late
Hand,hand
drin,inside
Schau,show
Mama,"mum, mummy, mom, mommy"
lang,long
verloren,"lost, missing"
Art,"kind, sort, type"
verstehen,to understand
darum,"around it, around that"
Job,"job, position, employment"
Ruhe,"calm, relative quietness (absence of loud sounds)"
woher,"where from, whence"
spielen,to play (engage in some activity for fun or entertainment)
Idee,idea
suchen,"to search, to look for"
je,ever
Grund,"ground, land (usually as someone's property)"
